0.936782	17.3829	0.3
1.16667	33.4209	0.4
1.29885	28.1037	0.5
1.23563	31.1336	0.6
1.13793	41.7514	0.7
1.04023	69.3883	0.8
0.91954	105.697	0.9
0.827586	100.055	1
0.775862	72.1904	1.1
0.678161	54.2989	1.2
0.557471	34.6728	1.3
0.373563	22.6349	1.4
0.270115	30.0007	1.5
0.270115	29.1282	1.6
0.448276	29.1227	1.7
0.672414	31.2854	1.8
0.672414	36.4831	1.9
0.695402	34.0929	2
0.724138	26.6078	2.1
0.724138	29.3125	2.2
1.10345	35.0522	2.3
1.9023	38.9493	2.4
1.0977	42.7379	2.5
0.712644	44.5753	2.6
1.17241	40.7758	2.7
1.17241	38.8192	2.8
1.91379	39.7894	2.9
2.35632	35.2312	3
1.64368	38.8029	3.1
1.0977	38.7975	3.2
2.27586	37.8165	3.3
3.0977	33.4751	3.4
3.83908	37.2636	3.5
4.54598	35.849	3.6
5.43678	35.3016	3.7
5.29885	38.765	3.8
4.63218	37.7839	3.9
2.90805	38.8626	4
1.46552	19.6701	4.1
4.78161	20.6404	4.2
5.56322	27.0306	4.3
6.25287	27.784	4.4
6.3046	30.0549	4.5
6.09195	34.8192	4.6
6.31034	32.2121	4.7
6.17816	38.2772	4.8
6.10345	42.6078	4.9
6.2069	43.578	5
6.26437	39.5617	5.1
6.54598	35.5455	5.2
7.01724	42.8029	5.3
7.2931	48.7596	5.4
7.22414	55.3666	5.5
7.25862	57.4209	5.6
7.67816	67.9303	5.7
8.55747	73.2366	5.8
9.51724	83.6376	5.9
10.1207	90.3531	6
9.63793	80.2663	6.1
9.06322	65.3016	6.2
9.23563	74.2934	6.3
9.28736	73.9629	6.4
9.01149	78.9438	6.5
10.1092	54.8734	6.6
10.6092	50.4235	6.7
8.51149	38.1688	6.8
6.91379	31.0089	6.9
6.02299	35.6648	7
5.85057	41.8381	7.1
6.43103	45.41	7.2
7.21839	47.3558	7.3
8.14943	46.4832	7.4
8.32759	49.7297	7.5
8.15517	57.2041	7.6
7.50575	64.1362	7.7
8.1954	61.4209	7.8
8.75862	57.6213	7.9
9.17816	57.1824	8
9.17241	53.5997	8.1
8.85057	55.4371	8.2
8.67241	53.914	8.3
8.85057	45.7786	8.4
8.94828	48.0495	8.5
9	54.4398	8.6
8.81609	56.3856	8.7
8.52874	67.3287	8.8
8.82184	81.6322	8.9
9.28736	89.8653	9
9.13793	91.811	9.1
8.60345	88.7704	9.2
8.15517	94.4018	9.3
8.44253	89.5184	9.4
9.08046	91.139	9.5
9.1092	95.036	9.6
8.74713	94.1633	9.7
7.91954	91.5564	9.8
8.81034	90.1417	9.9
9.35632	87.3179	10
9.62069	79.1823	10.1
9.8046	70.1797	10.2
10.0977	63.2365	10.3
10.0805	53.8003	10.4
10.0345	54.9872	10.5
9.98851	54.9818	10.6
10.4425	56.8192	10.7
10.9943	58.1146	10.8
11.3103	59.8436	10.9
11.7759	58.6458	11
11.1667	57.4479	11.1
11.0862	60.5862	11.2
10.3678	65.1335	11.3
7.29885	58.8409	11.4
6.55747	60.7866	11.5
9.24713	63.7081	11.6
11.3448	60.7758	11.7
10.9943	65.1065	11.8
10.7874	61.307	11.9
10.5575	70.2989	12
10.3678	94.1417	12.1
10.6609	111.914	12.2
10.7816	111.583	12.3
10.2299	96.2935	12.4
9.84483	89.5671	12.5
10.0517	83.7081	12.6
9.28161	77.849	12.7
8.09195	75.784	12.8
9.71264	81.849	12.9
10.1667	96.4778	13
10.5115	70.1308	13.1
10.431	59.719	13.2
9.43678	73.5888	13.3
8.97126	68.1634	13.4
9.10345	87.8869	13.5
8.81034	90.7	13.6
7.83908	80.1796	13.7
6.08621	75.2962	13.8
5.25287	76.6999	13.9
4.5	81.7894	14
3.77011	92.2988	14.1
2.82184	99.7732	14.2
3.41379	96.082	14.3
10.8793	98.4615	14.4
12.569	91.8436	14.5
13.1782	85.9845	14.6
13.8506	84.2446	14.7
13.5287	95.513	14.8
13.023	122.391	14.9
11.5287	127.806	15
6.64368	111.106	15.1
6.93103	101.237	15.2
8.33333	127.464	15.3
10.4023	123.231	15.4
10.7414	124.96	15.5
11.5057	118.342	15.6
11.6724	130.044	15.7
10.7586	139.686	15.8
9.88506	136.537	15.9
10.2011	124.174	16
10.8218	117.014	16.1
11.0575	96.7379	16.2
10.6494	83.8327	16.3
10.9885	60.4127	16.4
10.1897	67.8869	16.5
9.49425	81.4317	16.6
9.25287	103.974	16.7
9.35057	102.017	16.8
9.21839	105.806	16.9
8.49425	111.654	17
7.3908	110.239	17.1
